booking_id,guest_id,hotel_id,booking_date,room_type_requested,booking_channel,nights_booked,total_amount
B00042,G0296,H005,30-06-2026,Standard,Travel Agent,3,10260.82
B00043,G0350,H012,29-05-2025,Standard,Travel Agent,1,3203.56
B00044,G0058,H017,16-12-2025,Deluxe,Travel Agent,1,5441.75
B00045,G0223,H004,17-08-2025,Standard,Mobile App,2,5807.99
B00046,G0136,H009,30-08-2024,Deluxe,Mobile App,2,11706.09
B00047,G0348,H014,03-08-2024,Deluxe,Mobile App,5,24034.3
B00048,G0312,H019,11-01-2025,Standard,Mobile App,2,6112.18
B00049,G0310,H008,03-10-2024,Deluxe,Walk-in,1,5451.65
B00050,G0167,H005,26-01-2026,Deluxe,Website,2,9254.02
B00051,G0145,H021,03-07-2026,Deluxe,Travel Agent,4,19328.57
B00052,G0105,H013,09-12-2025,Standard,Website,1,2698
B00053,G0019,H004,25-07-2026,Standard,Website,2,5824.49
B00054,G0316,H009,12-08-2026,Standard,Mobile App,2,8148.33
B00055,G0296,H007,04-07-2026,Deluxe,Mobile App,3,17021.53
B00056,G0350,H012,18-10-2024,Standard,Mobile App,4,11331.4
B00057,G0350,H013,21-03-2024,Deluxe,Mobile App,10,46916.71
B00058,G0200,H011,17-10-2025,Standard,Mobile App,2,6309.9
B00059,G0283,H006,24-08-2024,Standard,Website,3,10681.25
B00060,G0342,H021,11-09-2025,Standard,Walk-in,4,14996.1
B00061,G0316,H019,04-02-2026,Deluxe,Mobile App,1,5518.77
B00062,G0098,H024,08-05-2024,Standard,Website,4,12179.27
B00063,G0155,H006,19-10-2025,Standard,Website,7,23551.16
B00064,G0051,H001,09-06-2024,Suite,Mobile App,14,97228.12
B00065,G0344,H005,24-09-2025,Standard,Phone,2,6326.1
B00066,G0228,H010,25-01-2026,Standard,Website,3,9343.57
B00067,G0089,H022,14-01-2026,Standard,Walk-in,5,19359.84
B00068,G0253,H018,10-06-2026,Executive,Mobile App,1,6822.73
B00069,G0233,H006,06-07-2025,Deluxe,Mobile App,4,22189.47
B00070,G0130,H017,21-03-2025,Deluxe,Mobile App,7,40800.19
B00071,G0040,H003,20-08-2024,Standard,Mobile App,2,7432.4
B00072,G0253,H017,01-01-2024,Suite,Walk-in,2,20752.91
B00073,G0188,H023,09-01-2024,Executive,Phone,3,16241.1
B00074,G0283,H010,18-08-2025,Deluxe,Travel Agent,3,14082.12
B00075,G0188,H018,22-06-2026,Standard,Website,4,11888.77
B00076,G0316,H013,28-04-2026,Standard,Website,3,8644.88
B00077,G0199,H020,30-03-2026,Suite,Travel Agent,2,16285.98
B00078,G0203,H009,08-04-2026,Standard,Walk-in,1,3702.89
B00079,G0320,H015,11-02-2026,Deluxe,Website,3,16226.89
B00080,G0140,H005,20-01-2024,Standard,Mobile App,1,3058.08
B00081,G0053,H005,02-10-2024,Deluxe,Travel Agent,2,9294.19
B00082,G0012,H007,20-05-2025,Standard,Website,4,15191.67
B00083,G0278,H023,10-05-2026,Suite,Website,5,42671.66
B00084,G0233,H009,27-02-2024,Suite,Website,3,29010.27
B00085,G0265,H009,11-05-2026,Suite,Walk-in,1,11138.77
B00086,G0080,H013,22-07-2025,Suite,Mobile App,4,27251.33
B00087,G0053,H024,16-04-2025,Suite,Mobile App,14,106911.67
B00088,G0008,H010,28-11-2025,Executive,Website,4,30760.65
B00089,G0127,H017,16-07-2025,Standard,Mobile App,2,7540.65
B00090,G0220,H022,23-02-2024,Standard,Website,3,11208.41
B00091,G0136,H009,20-06-2024,Deluxe,Mobile App,2,13048.59
B00092,G0152,H023,18-08-2025,Deluxe,Mobile App,2,7747.91
B00093,G0325,H016,10-06-2024,Standard,Mobile App,7,22525.17
B00094,G0125,H002,02-10-2025,Standard,Mobile App,4,12296.11
B00095,G0186,H016,08-05-2025,Standard,Phone,4,12198.75
B00096,G0286,H015,04-04-2026,Deluxe,Website,2,12350.48
B00097,G0139,H002,13-09-2024,Deluxe,Mobile App,2,9023.78
B00098,G0234,H019,18-02-2025,Standard,Website,4,12804.07
B00099,G0316,H020,01-05-2026,Executive,Mobile App,1,5632.54
B00100,G0344,H009,29-10-2024,Deluxe,Mobile App,4,23453.23
B00101,G0057,H006,21-01-2026,Suite,Mobile App,2,18674.37
B00102,G0337,H024,24-11-2024,Standard,Phone,5,13264.54
B00103,G0180,H016,04-08-2026,Suite,Website,2,15036.77
B00104,G0101,H004,25-11-2024,Standard,Travel Agent,1,3176.46
B00105,G0161,H002,01-07-2024,Standard,Mobile App,1,2919.71
B00106,G0350,H013,06-05-2026,Deluxe,Mobile App,4,16194.94
B00107,G0180,H008,14-09-2025,Deluxe,Website,7,33033.19
B00108,G0122,H003,18-05-2025,Deluxe,Mobile App,2,12404.97
B00109,G0239,H014,30-06-2026,Suite,Travel Agent,1,9329.96
B00110,G0094,H002,25-06-2025,Deluxe,Walk-in,1,4006.7
B00111,G0029,H004,15-06-2025,Standard,Website,2,5310.37
B00112,G0051,H008,16-02-2026,Deluxe,Phone,3,15455.81
B00113,G0050,H004,03-02-2026,Suite,Mobile App,4,32269.13
B00114,G0058,H004,13-03-2025,Standard,Website,2,5512.52
B00115,G0053,H018,10-06-2024,Executive,Mobile App,2,11745.46
B00116,G0241,H012,28-11-2024,Standard,Mobile App,5,13732.08
B00117,G0069,H019,03-09-2024,Deluxe,Mobile App,3,16148.8
B00118,G0124,H015,03-01-2025,Standard,Mobile App,4,17451.9
B00119,G0322,H001,02-09-2025,Deluxe,Phone,2,8190.7
B00120,G0170,H007,15-08-2024,Suite,Website,5,47455.02
B00121,G0251,H018,18-09-2025,Deluxe,Mobile App,3,11637
B00122,G0066,H012,03-11-2025,Standard,Website,5,13474.5
B00123,G0073,H010,19-09-2024,Standard,Mobile App,7,25060.73
B00124,G0014,H011,10-01-2026,Suite,Website,5,40214.95
B00125,G0066,H004,02-03-2026,Deluxe,Website,4,17540.39
B00126,G0107,H025,21-03-2024,Standard,Travel Agent,2,7297.12
B00127,G0067,H004,02-03-2025,Suite,Website,3,23637.95
B00128,G0029,H021,12-01-2024,Suite,Mobile App,2,16112.23
B00129,G0045,H019,06-07-2025,Standard,Mobile App,2,6030.66
B00130,G0162,H013,14-05-2026,Executive,Travel Agent,3,16605.37
B00131,G0078,H010,18-03-2025,Suite,Website,2,18035.66
B00132,G0131,H002,02-02-2026,Deluxe,Website,2,8472.43
B00133,G0180,H025,15-01-2025,Standard,Mobile App,3,10537.07
B00134,G0260,H018,19-07-2024,Deluxe,Travel Agent,2,7710.45
B00135,G0014,H014,06-03-2026,Standard,Phone,1,3528.46
B00136,G0291,H012,09-03-2025,Standard,Website,3,7610.83
B00137,G0238,H006,08-11-2024,Executive,Mobile App,14,100165.97
B00138,G0029,H015,29-05-2024,Standard,Walk-in,1,3783.08
B00139,G0320,H024,13-04-2026,Suite,Website,1,8529.26
B00140,G0335,H005,06-08-2026,Suite,Walk-in,1,9500.02
B00141,G0022,H010,29-12-2025,Deluxe,Website,1,5126.99
B00142,G0107,H018,27-07-2024,Deluxe,Website,3,13639.26
B00143,G0294,H023,14-11-2025,Deluxe,Website,3,13430.11
B00144,G0276,H009,26-10-2025,Standard,Website,4,16062.01
B00145,G0071,H015,16-04-2025,Deluxe,Website,2,11056.46
B00146,G0078,H022,22-05-2026,Standard,Website,2,8536.4
B00147,G0133,H008,30-01-2025,Executive,Mobile App,4,31887.41
B00148,G0177,H020,11-05-2025,Deluxe,Website,3,12782.66
B00149,G0233,H023,06-08-2026,Standard,Website,3,8260.5
B00150,G0133,H024,06-02-2025,Standard,Website,2,5915.32
B00151,G0164,H017,29-08-2024,Standard,Website,2,7591.57
B00152,G0276,H018,19-10-2025,Executive,Website,2,11978.54
B00153,G0014,H003,20-05-2024,Deluxe,Mobile App,4,25548.07
B00154,G0101,H008,03-12-2025,Standard,Mobile App,2,6463.26
B00155,G0265,H011,11-09-2025,Standard,Website,3,8780.16
B00156,G0321,H007,01-12-2025,Suite,Website,4,36495.68
B00157,G0185,H014,18-05-2024,Executive,Phone,1,8023.46
B00158,G0191,H006,28-07-2026,Standard,Mobile App,7,21499.72
B00159,G0038,H005,21-11-2024,Deluxe,Travel Agent,5,24866.98
B00160,G0155,H010,30-01-2026,Standard,Phone,7,26211.25
B00161,G0191,H005,07-10-2024,Suite,Website,1,9651.92
B00162,G0095,H020,18-09-2025,Standard,Mobile App,2,5365.06
B00163,G0104,H001,04-12-2025,Standard,Travel Agent,3,8614.88
B00164,G0136,H016,11-09-2025,Deluxe,Mobile App,5,21480.09
B00165,G0009,H006,10-05-2025,Standard,Website,4,11944.01
B00166,G0121,H014,03-10-2024,Standard,Travel Agent,1,3142.57
B00167,G0079,H015,30-06-2024,Suite,Mobile App,2,20693.48
B00168,G0122,H014,09-09-2024,Standard,Website,4,13151.16
B00169,G0045,H013,16-11-2024,Deluxe,Travel Agent,3,12994.48
B00170,G0321,H023,15-06-2026,Suite,Mobile App,2,16601.29
B00171,G0223,H008,13-02-2024,Deluxe,Mobile App,4,20605.57
B00172,G0257,H025,12-06-2025,Deluxe,Website,2,9907.14
B00173,G0287,H025,12-11-2025,Suite,Mobile App,2,18643.12
B00174,G0180,H023,29-10-2024,Deluxe,Website,5,21271.41
B00175,G0029,H017,09-01-2026,Standard,Travel Agent,7,28629.3
B00176,G0195,H013,18-05-2024,Standard,Mobile App,1,2933.22
B00177,G0219,H007,13-07-2026,Suite,Website,2,18799.95
B00178,G0274,H006,29-12-2025,Deluxe,Website,1,5017.2
B00179,G0149,H003,06-01-2025,Deluxe,Mobile App,4,23485.84
B00180,G0050,H013,12-06-2024,Deluxe,Website,1,4131.95
B00181,G0110,H022,11-06-2026,Suite,Website,1,11141.35
B00182,G0131,H014,22-02-2024,Standard,Travel Agent,10,32121.33
B00183,G0241,H004,04-07-2024,Suite,Phone,1,8185.12
B00184,G0210,H015,13-01-2024,Deluxe,Mobile App,5,30045.01
B00185,G0129,H008,20-05-2025,Standard,Travel Agent,2,6677.18
B00186,G0350,H020,07-09-2025,Standard,Walk-in,2,5920.09
B00187,G0228,H007,19-04-2026,Standard,Website,3,9011.79
B00188,G0093,H002,08-08-2026,Deluxe,Walk-in,2,9492.81
B00189,G0035,H004,29-03-2025,Standard,Website,4,11791.05
B00190,G0058,H023,09-12-2025,Deluxe,Travel Agent,1,4258.1
B00191,G0096,H012,15-08-2025,Executive,Website,2,11905.71
B00192,G0061,H003,23-01-2025,Suite,Walk-in,1,10380.58
B00193,G0071,H023,21-05-2025,Suite,Website,2,14286.92
B00194,G0111,H020,02-08-2024,Standard,Mobile App,10,28902.63
B00195,G0067,H016,30-03-2024,Deluxe,Mobile App,4,18088.58
B00196,G0322,H020,13-03-2025,Suite,Website,3,23755.75
B00197,G0029,H005,07-08-2026,Deluxe,Mobile App,4,20308.4
B00198,G0188,H006,07-04-2026,Suite,Website,2,16786.48
B00199,G0143,H001,21-02-2025,Deluxe,Travel Agent,4,15990.79
B00200,G0350,H014,22-09-2025,Standard,Website,3,10500.53
B00201,G0040,H021,12-01-2024,Standard,Website,4,12911.28
B00202,G0139,H018,02-06-2025,Standard,Website,4,11035.81
B00203,G0347,H019,11-01-2026,Deluxe,Website,1,4869.91
B00204,G0317,H022,22-09-2025,Deluxe,Mobile App,1,5334.66
B00205,G0300,H021,08-06-2024,Deluxe,Walk-in,7,35233.8
B00206,G0101,H014,13-04-2026,Executive,Website,3,22115.85
B00207,G0066,H011,14-06-2026,Deluxe,Website,3,12384.92
B00208,G0253,H012,27-07-2026,Standard,Website,5,13787.03
B00209,G0339,H021,19-01-2025,Deluxe,Website,3,14077.69
B00210,G0201,H025,29-04-2024,Standard,Walk-in,4,12791.43
B00211,G0211,H016,28-07-2024,Suite,Mobile App,5,36587.14
B00212,G0108,H010,21-06-2025,Standard,Mobile App,1,3140.53
B00213,G0283,H015,06-09-2024,Deluxe,Travel Agent,7,37525.76
B00214,G0072,H016,14-12-2024,Deluxe,Mobile App,4,15721.84
B00215,G0122,H004,11-06-2026,Suite,Phone,4,27995.38
B00216,G0148,H002,11-01-2026,Deluxe,Travel Agent,3,11352.95
B00217,G0183,H022,11-01-2026,Suite,Walk-in,2,22894.85
B00218,G0095,H017,15-04-2024,Suite,Travel Agent,1,11114.16
B00219,G0041,H007,16-10-2025,Standard,Website,2,6474.44
B00220,G0231,H022,27-03-2025,Standard,Website,2,6883.45
B00221,G0113,H018,08-06-2026,Deluxe,Website,2,8228.82
B00222,G0215,H023,24-05-2024,Suite,Mobile App,1,7333.83
B00223,G0058,H011,02-07-2026,Deluxe,Website,1,4728.46
B00224,G0174,H004,04-09-2025,Standard,Website,2,6026.55
B00225,G0191,H019,01-07-2026,Deluxe,Travel Agent,2,9802.04
B00226,G0015,H007,07-07-2025,Deluxe,Travel Agent,3,17000.38
B00227,G0123,H025,12-02-2026,Deluxe,Website,5,27999.47
B00228,G0053,H004,24-04-2025,Deluxe,Travel Agent,4,17074.67
B00229,G0024,H008,25-08-2024,Standard,Walk-in,2,6547.62
B00230,G0350,H023,06-07-2024,Executive,Website,5,29435.71
B00231,G0121,H001,14-05-2025,Standard,Website,3,9336.11
B00232,G0295,H025,07-11-2024,Standard,Mobile App,3,9926.09
B00233,G0101,H004,01-01-2026,Standard,Mobile App,4,11571.69
B00234,G0258,H019,14-02-2025,Standard,Mobile App,3,11334.1
B00235,G0280,H003,28-01-2025,Standard,Walk-in,3,12521.6
B00236,G0224,H019,21-03-2025,Suite,Mobile App,2,18862.06
B00237,G0169,H024,20-03-2024,Executive,Mobile App,3,18864.73
B00238,G0144,H011,19-04-2025,Deluxe,Walk-in,1,4783.68
B00239,G0126,H020,12-03-2024,Standard,Walk-in,4,11140.95
B00240,G0339,H021,21-05-2025,Deluxe,Website,5,27798.59
B00241,G0306,H025,13-07-2026,Deluxe,Website,1,4645.28
B00242,G0346,H010,28-06-2025,Standard,Mobile App,1,3536.53
B00243,G0048,H010,20-11-2024,Deluxe,Walk-in,2,11258.38
B00244,G0270,H023,19-11-2025,Executive,Website,1,5412.18
B00245,G0339,H013,06-06-2025,Suite,Walk-in,1,8439.52
B00246,G0068,H001,24-02-2024,Deluxe,Walk-in,2,9368.62
B00247,G0025,H001,05-06-2026,Standard,Travel Agent,2,5485.38
B00248,G0273,H013,26-01-2025,Standard,Mobile App,3,8557.23
B00249,G0211,H018,09-11-2024,Standard,Phone,5,13139.94
B00250,G0312,H005,28-05-2026,Standard,Website,1,3569.43
B00251,G0053,H022,13-05-2025,Standard,Phone,1,4038.62
B00252,G0289,H015,14-05-2025,Suite,Travel Agent,7,75384.99
B00253,G0075,H017,10-04-2025,Standard,Walk-in,2,7284.21
B00254,G0062,H020,10-03-2025,Standard,Mobile App,4,12073.96
B00255,G0063,H014,02-10-2024,Executive,Mobile App,1,6439.02
B00256,G0298,H023,09-05-2025,Standard,Mobile App,10,25760.44
B00257,G0251,H024,08-05-2026,Deluxe,Walk-in,4,16293.57
B00258,G0188,H003,13-06-2025,Deluxe,Mobile App,2,12082.77
B00259,G0130,H022,10-11-2025,Standard,Mobile App,4,14898.8
B00260,G0320,H011,18-04-2025,Deluxe,Website,2,9462.72
B00261,G0136,H024,10-08-2025,Standard,Mobile App,10,27262.33
B00262,G0299,H002,01-05-2026,Deluxe,Mobile App,2,9208.55
B00263,G0152,H002,23-09-2024,Deluxe,Mobile App,3,13407.41
B00264,G0136,H024,25-10-2024,Deluxe,Website,1,4310.88
B00265,G0164,H009,21-05-2026,Standard,Mobile App,2,7343.64
B00266,G0116,H004,29-01-2026,Deluxe,Walk-in,4,17888.45
B00267,G0276,H006,11-04-2026,Standard,Travel Agent,3,10901.64
B00268,G0180,H011,07-10-2024,Executive,Phone,3,19897.76
B00269,G0092,H016,07-05-2026,Suite,Mobile App,2,15977.5
B00270,G0323,H021,23-01-2026,Standard,Mobile App,5,15092.37
B00271,G0136,H025,27-09-2024,Suite,Website,2,18037.33
B00272,G0198,H024,02-05-2025,Executive,Phone,2,12850.53
B00273,G0326,H016,05-06-2025,Standard,Mobile App,2,5444.31
B00274,G0236,H013,05-09-2025,Deluxe,Phone,4,15292.27
B00275,G0044,H021,06-08-2026,Standard,Walk-in,3,10536.62
B00276,G0340,H011,06-10-2024,Standard,Walk-in,2,5857.85
B00277,G0237,H025,28-07-2026,Deluxe,Website,4,21660.18
B00278,G0123,H011,16-06-2025,Deluxe,Phone,2,7582.21
B00279,G0053,H003,09-01-2024,Standard,Website,1,3851.74
B00280,G0288,H024,23-11-2024,Standard,Website,1,2584.36
B00281,G0233,H022,31-08-2025,Suite,Website,3,28471.69
B00282,G0192,H003,02-05-2024,Suite,Website,3,34424.21
B00283,G0321,H006,02-08-2025,Suite,Travel Agent,2,17996.28
B00284,G0287,H021,18-07-2025,Deluxe,Phone,4,21272.25
B00285,G0058,H025,14-11-2025,Suite,Website,4,34313.99
B00286,G0117,H013,04-03-2024,Standard,Phone,2,6177.92
B00287,G0099,H015,01-07-2024,Standard,Phone,1,3800.99
B00288,G0274,H016,22-10-2025,Standard,Mobile App,2,5899.55
B00289,G0014,H015,18-04-2024,Deluxe,Website,1,5956.68
B00290,G0209,H025,13-09-2024,Standard,Walk-in,1,3502.52
B00291,G0280,H022,08-02-2024,Standard,Website,2,7599.49
B00292,G0320,H017,23-03-2025,Deluxe,Travel Agent,3,17152.76
B00293,G0123,H025,15-01-2026,Suite,Website,2,17631.08
B00294,G0302,H025,06-12-2025,Deluxe,Mobile App,7,34335.7
B00295,G0040,H010,29-11-2025,Standard,Mobile App,10,30484.91
B00296,G0314,H011,01-07-2025,Standard,Mobile App,4,11893.82
B00297,G0050,H018,29-06-2024,Standard,Mobile App,1,3007.12
B00298,G0139,H004,06-07-2026,Deluxe,Mobile App,1,4444.43
B00299,G0290,H007,22-01-2026,Standard,Website,4,13853.49
B00300,G0058,H013,15-05-2025,Standard,Mobile App,2,5787.52
B00301,G0089,H015,07-08-2026,Executive,Website,2,16065.89
B00302,G0267,H002,08-01-2026,Standard,Website,3,8658.55
B00303,G0266,H018,25-11-2025,Standard,Mobile App,7,17820.7
B00304,G0241,H016,24-05-2024,Deluxe,Mobile App,7,26796.64
B00305,G0263,H021,23-01-2026,Standard,Website,1,3227.46
B00306,G0197,H004,23-03-2026,Deluxe,Website,3,13916.07
B00307,G0101,H004,18-04-2024,Deluxe,Travel Agent,2,9249.35
B00308,G0124,H011,12-03-2025,Suite,Phone,4,29431.76
B00309,G0069,H019,01-12-2025,Deluxe,Website,10,47245.94
B00310,G0328,H019,16-02-2024,Standard,Website,2,7198.67
B00311,G0216,H023,21-06-2024,Standard,Website,2,5854.78
B00312,G0139,H004,16-05-2024,Suite,Mobile App,2,14091.58
B00313,G0163,H016,19-06-2026,Standard,Website,7,21103.03
B00314,G0343,H010,21-07-2026,Standard,Walk-in,4,14181.95
B00315,G0058,H005,30-07-2024,Deluxe,Mobile App,2,11245.39
B00316,G0218,H023,17-09-2025,Standard,Website,3,9555.63
B00317,G0182,H010,04-10-2025,Standard,Website,2,6141.32
B00318,G0232,H004,26-06-2025,Deluxe,Walk-in,14,60380.85
B00319,G0009,H025,10-04-2026,Deluxe,Website,1,4600.01
B00320,G0320,H022,06-06-2025,Suite,Walk-in,3,28762.16
B00321,G0339,H002,02-08-2026,Standard,Mobile App,1,2695.97
B00322,G0206,H025,07-06-2026,Deluxe,Website,1,5126.19
B00323,G0264,H001,10-06-2024,Deluxe,Website,7,31762.31
B00324,G0336,H019,29-08-2025,Standard,Website,4,12970.46
B00325,G0265,H004,08-03-2026,Standard,Website,4,12515.68
B00326,G0058,H008,19-01-2025,Standard,Mobile App,1,3333.62
B00327,G0212,H020,09-08-2024,Deluxe,Mobile App,1,4535.81
B00328,G0228,H012,09-10-2025,Executive,Website,1,6438.32
B00329,G0148,H009,02-03-2024,Standard,Walk-in,2,7180.37
B00330,G0271,H008,17-12-2024,Suite,Mobile App,4,37506.29
B00331,G0339,H006,18-09-2025,Deluxe,Mobile App,2,9940.98
B00332,G0337,H016,18-06-2025,Suite,Website,3,22853.04
B00333,G0155,H024,11-07-2025,Standard,Walk-in,2,5647.95
B00334,G0040,H019,15-08-2024,Executive,Walk-in,7,49780.19
B00335,G0350,H002,15-02-2024,Executive,Travel Agent,3,18115.64
B00336,G0311,H016,07-02-2025,Suite,Travel Agent,1,7678.66
B00337,G0048,H018,26-03-2024,Suite,Travel Agent,2,14317.52
B00338,G0335,H010,02-01-2025,Standard,Phone,1,3526.22
B00339,G0319,H023,10-07-2025,Deluxe,Mobile App,3,14415.73
B00340,G0188,H025,19-04-2025,Standard,Travel Agent,1,3693.5
B00341,G0221,H015,03-10-2025,Deluxe,Website,3,17071.22
B00342,G0139,H011,08-12-2025,Deluxe,Website,4,18051.83
B00343,G0017,H018,19-09-2025,Deluxe,Website,4,17725.91
B00344,G0123,H024,09-12-2024,Executive,Mobile App,7,41621.9
B00345,G0293,H004,22-02-2024,Standard,Mobile App,1,2776.5
B00346,G0002,H018,25-10-2025,Deluxe,Mobile App,4,15701.3
B00347,G0123,H008,08-12-2024,Deluxe,Mobile App,4,21569.89
B00348,G0139,H023,11-06-2026,Standard,Travel Agent,2,5533.8
B00349,G0195,H017,30-09-2024,Deluxe,Website,1,5633.78
B00350,G0334,H017,12-05-2025,Deluxe,Website,4,24437.7
B00351,G0124,H010,29-06-2025,Deluxe,Mobile App,4,21277.21
B00352,G0124,H003,23-06-2026,Standard,Walk-in,1,3799.13
B00353,G0271,H010,02-07-2024,Executive,Website,1,6570.28
B00354,G0156,H016,31-05-2024,Standard,Website,10,25358.83
B00355,G0087,H022,02-03-2025,Deluxe,Website,2,11549.26
B00356,G0156,H001,22-10-2025,Standard,Website,5,13413.15
B00357,G0055,H021,16-06-2025,Standard,Mobile App,3,10870.55
B00358,G0067,H019,12-05-2025,Deluxe,Mobile App,3,15083.61
B00359,G0180,H005,07-04-2026,Suite,Website,4,33867.02
B00360,G0146,H010,15-01-2025,Suite,Website,2,17947.47
B00361,G0330,H020,19-06-2024,Executive,Travel Agent,2,13719.62
B00362,G0131,H023,09-05-2026,Deluxe,Travel Agent,1,4029.8
B00363,G0214,H011,12-02-2024,Deluxe,Mobile App,2,7990.83
B00364,G0239,H002,25-12-2025,Deluxe,Phone,1,4250.85
B00365,G0006,H018,25-06-2025,Standard,Phone,2,5739.18
B00366,G0251,H015,13-07-2025,Executive,Website,10,84581.37
B00367,G0067,H011,03-06-2025,Deluxe,Website,7,33586.6
B00368,G0346,H019,11-02-2026,Deluxe,Travel Agent,4,22412.48
B00369,G0057,H023,12-12-2024,Standard,Mobile App,1,2994.61
B00370,G0145,H010,29-04-2024,Standard,Mobile App,2,6537.61
B00371,G0029,H002,30-11-2024,Deluxe,Website,3,13801.04
B00372,G0350,H009,24-02-2026,Standard,Website,5,20358.82
B00373,G0180,H017,02-12-2024,Standard,Mobile App,3,11742.6
B00374,G0224,H022,27-02-2024,Standard,Website,5,18895.44
B00375,G0025,H001,16-01-2025,Standard,Mobile App,10,31320.11
B00376,G0276,H007,17-11-2025,Deluxe,Mobile App,14,76386.33
B00377,G0078,H006,22-10-2024,Suite,Phone,2,19896.7
B00378,G0322,H019,22-05-2024,Deluxe,Website,2,11370.01
B00379,G0078,H011,21-06-2025,Standard,Phone,4,10327.66
B00380,G0072,H021,23-02-2025,Executive,Mobile App,3,22887.41
B00381,G0014,H005,12-02-2026,Standard,Walk-in,2,6757.65
B00382,G0169,H010,22-04-2026,Suite,Website,3,26971.16
B00383,G0206,H001,11-10-2024,Standard,Website,3,8896.78
B00384,G0025,H021,07-05-2024,Deluxe,Website,1,5583.92
B00385,G0285,H008,22-10-2025,Standard,Travel Agent,3,11326.01
B00386,G0157,H024,05-09-2025,Standard,Mobile App,2,5401.08
B00387,G0188,H016,03-12-2025,Executive,Walk-in,2,12998.87
B00388,G0153,H009,18-01-2024,Standard,Website,2,8526.72
B00389,G0139,H012,18-05-2024,Standard,Website,2,6316.95
B00390,G0202,H002,30-12-2024,Standard,Mobile App,7,20157.95
B00391,G0059,H021,23-02-2026,Standard,Website,4,13690.83
B00392,G0069,H011,12-06-2026,Suite,Travel Agent,2,16070.41
B00393,G0316,H012,05-12-2025,Standard,Mobile App,5,12645.14
B00394,G0342,H010,14-06-2025,Standard,Mobile App,2,7451.82
B00395,G0135,H007,21-06-2025,Standard,Website,1,3714.57
B00396,G0104,H023,20-09-2025,Suite,Mobile App,3,23350.01
B00397,G0241,H004,13-02-2026,Standard,Walk-in,1,2611.86
B00398,G0142,H016,18-01-2024,Standard,Travel Agent,1,2829.36
B00399,G0011,H017,03-09-2025,Suite,Website,4,37013.35
B00400,G0060,H004,14-04-2026,Standard,Walk-in,1,2678.6
B00401,G0265,H007,08-05-2024,Standard,Website,4,14484.83
B00402,G0248,H001,20-03-2024,Suite,Travel Agent,1,6952.16
B00403,G0012,H022,23-03-2026,Deluxe,Website,1,5502.1
