room_id,hotel_id,room_type,floor_number,max_occupancy,price_per_night,is_active
R00064,H003,Deluxe,3,2,5746.03,Yes
R00065,H003,Standard,13,2,4243.78,Yes
R00066,H003,Standard,11,2,3693.4,Yes
R00067,H003,Suite,14,4,10213.01,Yes
R00068,H003,Standard,4,2,4161.84,No
R00069,H003,Suite,7,4,9434.56,Yes
R00070,H003,Standard,7,2,4114.34,Yes
R00071,H003,Suite,5,4,9708.76,Yes
R00072,H003,Standard,1,2,4157.26,Yes
R00073,H003,Suite,8,4,10097.3,Yes
R00074,H003,Suite,4,4,9432.28,Yes
R00075,H003,Standard,14,2,3556.23,Yes
R00076,H003,Standard,9,2,3807.76,No
R00077,H003,Deluxe,1,2,5386.81,No
R00078,H003,Standard,5,2,3532.5,Yes
R00079,H004,Standard,13,2,2751.66,Yes
R00080,H004,Deluxe,7,2,4619.58,Yes
R00081,H004,Standard,7,2,2576.95,Yes
R00082,H004,Deluxe,12,2,4653.82,Yes
R00083,H004,Standard,7,2,2615.19,Yes
R00084,H004,Standard,6,2,2947.5,Yes
R00085,H004,Executive,9,3,5891.14,Yes
R00086,H004,Standard,5,2,2886.47,Yes
R00087,H004,Deluxe,7,2,4432.95,Yes
R00088,H004,Deluxe,5,2,4205.1,Yes
R00089,H004,Standard,4,2,2816.74,Yes
R00090,H004,Deluxe,8,2,4235.1,Yes
R00091,H004,Deluxe,13,2,4620.99,Yes
R00092,H004,Standard,2,2,2734.92,Yes
R00093,H004,Deluxe,2,2,4551.48,Yes
R00094,H004,Deluxe,4,2,4541.51,Yes
R00095,H004,Standard,8,2,2918.31,Yes
R00096,H004,Deluxe,11,2,4347.56,Yes
R00097,H004,Standard,7,2,2712.63,Yes
R00098,H004,Standard,13,2,3057.85,Yes
R00099,H004,Suite,4,4,7163.83,No
R00100,H004,Deluxe,1,2,4332.22,Yes
R00101,H004,Standard,3,2,3024.79,Yes
R00102,H005,Executive,10,3,6962.89,Yes
R00103,H005,Standard,14,2,3514.98,Yes
R00104,H005,Suite,9,4,8931.27,Yes
R00105,H005,Suite,8,4,8600.77,Yes
R00106,H005,Deluxe,13,2,5330.35,Yes
R00107,H005,Standard,8,2,3090.88,Yes
R00108,H005,Standard,6,2,3629.79,Yes
R00109,H005,Standard,7,2,3498.24,Yes
R00110,H005,Standard,7,2,3258.33,Yes
R00111,H005,Standard,14,2,3317.31,Yes
R00112,H005,Deluxe,12,2,4578.88,Yes
R00113,H005,Deluxe,8,2,4565.36,Yes
R00114,H005,Suite,14,4,9720.21,Yes
R00115,H005,Deluxe,12,2,5100.85,Yes
R00116,H005,Standard,4,2,3220.04,Yes
R00117,H005,Standard,11,2,3488.46,Yes
R00118,H005,Standard,8,2,3647.31,No
R00119,H005,Deluxe,7,2,5146.2,Yes
R00120,H005,Standard,7,2,3129.35,Yes
R00121,H005,Standard,7,2,3255.99,Yes
R00122,H005,Standard,7,2,3223.55,No
R00123,H005,Standard,14,2,3093.8,Yes
R00124,H006,Deluxe,6,2,4781.77,Yes
R00125,H006,Executive,1,3,7581.59,Yes
R00126,H006,Standard,1,2,3450.26,Yes
R00127,H006,Deluxe,2,2,5118.53,Yes
R00128,H006,Deluxe,13,2,4925.17,Yes
R00129,H006,Executive,12,3,6675.78,Yes
R00130,H006,Executive,2,3,7333.02,Yes
R00131,H006,Deluxe,7,2,4952.68,Yes
R00132,H006,Standard,12,2,3588.52,Yes
R00133,H006,Deluxe,5,2,5402.33,Yes
R00134,H006,Standard,10,2,3556.85,Yes
R00135,H006,Standard,6,2,3085.25,Yes
R00136,H006,Standard,7,2,3583.08,Yes
R00137,H006,Executive,11,3,7776.07,Yes
R00138,H006,Standard,3,2,3524.57,No
R00139,H006,Standard,13,2,3647.36,Yes
R00140,H006,Deluxe,14,2,5284.11,Yes
R00141,H006,Suite,14,4,9796.28,Yes
R00142,H006,Deluxe,13,2,5020.14,Yes
R00143,H006,Standard,1,2,3366.32,Yes
R00144,H006,Deluxe,6,2,5350.33,Yes
R00145,H006,Suite,12,4,9699.79,Yes
R00146,H006,Deluxe,4,2,4644.38,Yes
R00147,H006,Deluxe,13,2,4797.73,Yes
R00148,H006,Deluxe,8,2,5345.48,Yes
R00149,H006,Standard,12,2,3200.46,Yes
R00150,H007,Standard,9,2,3390.51,Yes
R00151,H007,Deluxe,6,2,4908.23,Yes
R00152,H007,Standard,4,2,3119.41,Yes
R00153,H007,Standard,9,2,3668.02,Yes
R00154,H007,Standard,12,2,3359.64,Yes
R00155,H007,Executive,9,3,7358.66,No
R00156,H007,Suite,5,4,8544.65,Yes
R00157,H007,Standard,9,2,3123.33,Yes
R00158,H007,Standard,5,2,3500.53,Yes
R00159,H007,Suite,8,4,8323.58,Yes
R00160,H007,Standard,8,2,3330.74,Yes
R00161,H007,Standard,14,2,3355.36,Yes
R00162,H007,Standard,2,2,3420.98,Yes
R00163,H007,Standard,13,2,3411.6,Yes
R00164,H007,Executive,2,3,7303.83,Yes
R00165,H007,Deluxe,10,2,4783.22,Yes
R00166,H007,Deluxe,8,2,4854.26,Yes
R00167,H007,Standard,10,2,3450.05,Yes
R00168,H007,Deluxe,13,2,4765.48,Yes
R00169,H007,Deluxe,3,2,4797.27,Yes
R00170,H007,Standard,7,2,3337.37,Yes
R00171,H007,Standard,4,2,3230.06,Yes
R00172,H007,Suite,2,4,9358.67,Yes
R00173,H007,Suite,11,4,9185.93,Yes
R00174,H007,Standard,2,2,3399.53,Yes
R00175,H007,Executive,14,3,6715.01,Yes
R00176,H008,Suite,10,4,9467.66,Yes
R00177,H008,Standard,2,2,3349.4,Yes
R00178,H008,Standard,5,2,3370.39,Yes
R00179,H008,Standard,1,2,3627.41,Yes
R00180,H008,Deluxe,1,2,4650.04,No
R00181,H008,Suite,10,4,9181.21,Yes
R00182,H008,Suite,14,4,8619.03,Yes
R00183,H008,Suite,8,4,9060.57,Yes
R00184,H008,Standard,10,2,3327.71,Yes
R00185,H008,Executive,8,3,7006.31,Yes
R00186,H008,Deluxe,14,2,4718.93,Yes
R00187,H008,Deluxe,11,2,5496.4,Yes
R00188,H008,Deluxe,8,2,4646.8,Yes
R00189,H008,Standard,13,2,3306.76,Yes
R00190,H008,Executive,11,3,7744.62,Yes
R00191,H008,Standard,9,2,3278.74,Yes
R00192,H008,Deluxe,13,2,4610.68,Yes
R00193,H008,Standard,5,2,3329.19,Yes
R00194,H008,Standard,11,2,3442.02,Yes
R00195,H009,Standard,9,2,3513.77,Yes
R00196,H009,Standard,14,2,4198.65,Yes
R00197,H009,Standard,14,2,3620.62,Yes
R00198,H009,Standard,12,2,3711.6,Yes
R00199,H009,Executive,4,3,8252.68,Yes
R00200,H009,Standard,10,2,3890.44,Yes
R00201,H009,Suite,5,4,10960.26,Yes
R00202,H009,Standard,13,2,3890.05,Yes
R00203,H009,Standard,5,2,4141.18,Yes
R00204,H009,Deluxe,14,2,5424.8,Yes
R00205,H009,Standard,9,2,4084.36,Yes
R00206,H009,Executive,14,3,7815.08,Yes
R00207,H009,Deluxe,4,2,6232.95,Yes
R00208,H009,Standard,8,2,4040.46,Yes
R00209,H009,Standard,11,2,4106.85,Yes
R00210,H009,Standard,1,2,3599.51,No
R00211,H009,Standard,2,2,4169.14,Yes
R00212,H009,Deluxe,8,2,5272.57,Yes
R00213,H009,Suite,3,4,9536.65,Yes
R00214,H009,Standard,10,2,4030.92,Yes
R00215,H009,Suite,14,4,10759.69,Yes
R00216,H009,Executive,11,3,8680.15,Yes
R00217,H009,Suite,1,4,10643.62,Yes
R00218,H010,Deluxe,5,2,5548.17,Yes
R00219,H010,Standard,2,2,3542.13,Yes
R00220,H010,Standard,3,2,3498.28,Yes
R00221,H010,Standard,13,2,3076.76,Yes
R00222,H010,Standard,4,2,3390.67,Yes
R00223,H010,Suite,3,4,8451.87,Yes
R00224,H010,Standard,11,2,3198.82,Yes
R00225,H010,Standard,8,2,3461.21,Yes
R00226,H010,Deluxe,13,2,5020.68,Yes
R00227,H010,Deluxe,2,2,4997.36,Yes
R00228,H010,Deluxe,11,2,5513.08,Yes
R00229,H010,Deluxe,5,2,4756.98,Yes
R00230,H010,Deluxe,4,2,4937.53,Yes
R00231,H010,Standard,12,2,3234.77,No
R00232,H010,Deluxe,5,2,4567.55,Yes
R00233,H010,Suite,1,4,9753.79,Yes
R00234,H010,Suite,5,4,9515.06,Yes
R00235,H010,Suite,4,4,9268.81,Yes
R00236,H011,Deluxe,12,2,4508.68,Yes
R00237,H011,Standard,2,2,3081.91,Yes
R00238,H011,Standard,8,2,2594.68,Yes
R00239,H011,Standard,5,2,2758.96,Yes
R00240,H011,Standard,13,2,2878.07,No
R00241,H011,Deluxe,5,2,4561.6,Yes
R00242,H011,Suite,8,4,8351.08,Yes
R00243,H011,Suite,13,4,7072.75,No
R00244,H011,Standard,4,2,3057.68,Yes
R00245,H011,Executive,14,3,6485.51,Yes
R00246,H011,Suite,1,4,7296.69,Yes
R00247,H011,Standard,12,2,2952.51,Yes
R00248,H011,Suite,6,4,7062.52,Yes
R00249,H011,Standard,9,2,2759.68,Yes
R00250,H011,Deluxe,11,2,4556.04,Yes
R00251,H011,Standard,7,2,2641.34,Yes
R00252,H011,Standard,8,2,2641.03,Yes
R00253,H012,Deluxe,7,2,4245.06,Yes
R00254,H012,Deluxe,9,2,4216.07,Yes
R00255,H012,Standard,7,2,2942.76,Yes
R00256,H012,Deluxe,5,2,3891.48,Yes
R00257,H012,Standard,4,2,3055.05,Yes
R00258,H012,Deluxe,9,2,4621.42,Yes
R00259,H012,Standard,5,2,2682.29,Yes
R00260,H012,Suite,8,4,7037.51,Yes
R00261,H012,Deluxe,1,2,3906.49,Yes
R00262,H012,Executive,13,3,6197.49,Yes
R00263,H012,Suite,4,4,7779.57,Yes
R00264,H012,Standard,13,2,2658.63,Yes
R00265,H012,Standard,14,2,3127.06,No
R00266,H012,Deluxe,13,2,4010.58,Yes
R00267,H012,Standard,1,2,2776.62,Yes
R00268,H012,Deluxe,1,2,4010.37,Yes
R00269,H012,Deluxe,9,2,3959.47,Yes
R00270,H012,Standard,6,2,2863.41,Yes
R00271,H012,Deluxe,10,2,3900.43,Yes
R00272,H012,Suite,9,4,7352.45,Yes
R00273,H012,Standard,8,2,3050.49,Yes
R00274,H012,Standard,12,2,3085.43,Yes
R00275,H012,Standard,10,2,2659.07,Yes
R00276,H012,Deluxe,10,2,4324.62,Yes
R00277,H012,Executive,9,3,5873.88,Yes
R00278,H012,Standard,13,2,2969.0,Yes
R00279,H012,Deluxe,13,2,4327.12,Yes
R00280,H013,Standard,4,2,2807.74,Yes
R00281,H013,Standard,12,2,2629.25,Yes
R00282,H013,Deluxe,6,2,4665.02,Yes
R00283,H013,Deluxe,2,2,4562.69,Yes
R00284,H013,Standard,12,2,2784.68,Yes
R00285,H013,Standard,9,2,2890.54,Yes
R00286,H013,Standard,14,2,2948.59,Yes
R00287,H013,Suite,12,4,6977.17,Yes
R00288,H013,Standard,2,2,2899.63,Yes
R00289,H013,Deluxe,4,2,4575.71,Yes
R00290,H013,Deluxe,2,2,4504.59,Yes
R00291,H013,Suite,14,4,7741.45,Yes
R00292,H013,Deluxe,11,2,4403.87,Yes
R00293,H013,Executive,14,3,6352.17,Yes
R00294,H013,Standard,13,2,2749.03,Yes
R00295,H013,Standard,14,2,2656.22,Yes
R00296,H013,Standard,12,2,2930.58,Yes
R00297,H013,Deluxe,4,2,4180.0,Yes
R00298,H013,Standard,5,2,2980.09,Yes
R00299,H013,Deluxe,2,2,4606.01,Yes
R00300,H013,Suite,1,4,7910.95,Yes
R00301,H014,Deluxe,8,2,5161.25,Yes
R00302,H014,Standard,9,2,3114.89,Yes
R00303,H014,Standard,11,2,3431.62,Yes
R00304,H014,Standard,4,2,3300.87,Yes
R00305,H014,Standard,5,2,3664.35,Yes
R00306,H014,Suite,5,4,8722.78,Yes
R00307,H014,Deluxe,3,2,4687.57,Yes
R00308,H014,Standard,9,2,3590.36,Yes
R00309,H014,Standard,14,2,3530.02,Yes
R00310,H014,Deluxe,2,2,5414.04,Yes
R00311,H014,Deluxe,12,2,5194.03,Yes
R00312,H014,Standard,6,2,3153.25,Yes
R00313,H014,Deluxe,12,2,5471.2,Yes
R00314,H014,Suite,4,4,8913.15,Yes
R00315,H014,Standard,14,2,3244.71,Yes
R00316,H014,Standard,3,2,3090.15,Yes
R00317,H014,Deluxe,4,2,5457.47,Yes
R00318,H015,Deluxe,14,2,5992.39,Yes
R00319,H015,Standard,5,2,3653.6,Yes
R00320,H015,Suite,11,4,9537.72,No
R00321,H015,Deluxe,8,2,6116.92,Yes
R00322,H015,Standard,10,2,3993.06,No
R00323,H015,Standard,11,2,3744.13,Yes
R00324,H015,Deluxe,11,2,5600.98,Yes
R00325,H015,Standard,9,2,3559.86,Yes
R00326,H015,Standard,6,2,4136.78,Yes
R00327,H015,Suite,14,4,9568.2,Yes
R00328,H015,Standard,10,2,3925.53,Yes
R00329,H015,Suite,8,4,11238.46,Yes
R00330,H015,Standard,10,2,3865.6,Yes
R00331,H015,Standard,2,2,4120.99,Yes
R00332,H015,Executive,2,3,8330.62,Yes
R00333,H015,Standard,8,2,4258.09,Yes
R00334,H016,Deluxe,6,2,4177.2,Yes
R00335,H016,Standard,6,2,2956.18,Yes
R00336,H016,Deluxe,6,2,3919.37,Yes
R00337,H016,Deluxe,5,2,4075.68,Yes
R00338,H016,Executive,10,3,6567.94,Yes
R00339,H016,Deluxe,3,2,4634.07,Yes
R00340,H016,Deluxe,11,2,4193.24,Yes
R00341,H016,Executive,5,3,6190.71,Yes
R00342,H016,Standard,3,2,2951.27,Yes
R00343,H016,Deluxe,11,2,4630.46,Yes
R00344,H016,Deluxe,9,2,4167.94,Yes
R00345,H016,Standard,4,2,2767.37,Yes
R00346,H016,Standard,3,2,2662.77,Yes
R00347,H016,Suite,9,4,8056.31,Yes
R00348,H016,Suite,1,4,7892.89,Yes
R00349,H016,Deluxe,10,2,4180.44,Yes
R00350,H016,Suite,13,4,7837.11,Yes
R00351,H016,Deluxe,1,2,4209.12,Yes
R00352,H016,Standard,8,2,2917.93,Yes
R00353,H016,Suite,4,4,7701.02,Yes
R00354,H016,Suite,8,4,8255.96,Yes
R00355,H016,Deluxe,10,2,4690.93,Yes
R00356,H016,Standard,7,2,2857.63,Yes
R00357,H016,Standard,4,2,3024.71,Yes
R00358,H016,Standard,11,2,2845.13,Yes
R00359,H016,Executive,12,3,6535.07,Yes
R00360,H016,Standard,13,2,2665.77,Yes
R00361,H017,Deluxe,14,2,5754.81,Yes
R00362,H017,Standard,8,2,4177.09,Yes
R00363,H017,Standard,7,2,3885.69,Yes
R00364,H017,Executive,6,3,7873.65,Yes
R00365,H017,Standard,12,2,3998.37,Yes
R00366,H017,Standard,5,2,4202.05,Yes
R00367,H017,Suite,13,4,10823.29,Yes
R00368,H017,Standard,2,2,3517.83,Yes
R00369,H017,Standard,12,2,3967.08,Yes
R00370,H017,Suite,4,4,9998.35,Yes
R00371,H017,Standard,13,2,3977.69,Yes
R00372,H017,Suite,8,4,10601.35,Yes
R00373,H017,Deluxe,4,2,6075.91,Yes
R00374,H017,Standard,6,2,3686.57,Yes
R00375,H017,Deluxe,2,2,5853.07,Yes
R00376,H017,Executive,9,3,8335.16,No
R00377,H017,Deluxe,7,2,6252.73,Yes
R00378,H017,Standard,6,2,3696.54,Yes
R00379,H017,Suite,6,4,9875.9,Yes
R00380,H017,Standard,10,2,4063.28,Yes
R00381,H017,Standard,9,2,3761.2,Yes
R00382,H017,Suite,11,4,10331.83,Yes
R00383,H017,Deluxe,13,2,5409.1,Yes
R00384,H017,Executive,1,3,7986.1,Yes
R00385,H017,Standard,1,2,3743.72,Yes
R00386,H017,Standard,14,2,3916.93,Yes
R00387,H017,Suite,4,4,9967.67,Yes
R00388,H018,Standard,11,2,2761.88,Yes
R00389,H018,Standard,7,2,2992.25,Yes
R00390,H018,Standard,3,2,2853.87,Yes
R00391,H018,Executive,9,3,5840.06,Yes
R00392,H018,Standard,7,2,2913.37,Yes
R00393,H018,Deluxe,6,2,3950.18,Yes
R00394,H018,Standard,8,2,2913.47,Yes
R00395,H018,Deluxe,6,2,4239.59,Yes
R00396,H018,Executive,10,3,6717.78,Yes
R00397,H018,Executive,1,3,5610.05,Yes
R00398,H018,Standard,13,2,2995.94,Yes
R00399,H018,Standard,14,2,2916.24,Yes
R00400,H018,Standard,2,2,2708.16,Yes
R00401,H018,Standard,10,2,2594.14,Yes
R00402,H018,Standard,6,2,2784.33,Yes
R00403,H018,Deluxe,9,2,4172.24,Yes
R00404,H018,Standard,2,2,2590.51,Yes
R00405,H018,Deluxe,9,2,3962.92,Yes
R00406,H018,Deluxe,4,2,4700.95,Yes
R00407,H018,Executive,8,3,5760.21,Yes
R00408,H018,Standard,3,2,3079.26,Yes
R00409,H018,Standard,11,2,3117.83,No
R00410,H018,Deluxe,12,2,3918.55,Yes
R00411,H018,Suite,14,4,7136.26,Yes
R00412,H018,Deluxe,3,2,4530.7,Yes
R00413,H018,Standard,4,2,3019.56,Yes
R00414,H018,Deluxe,6,2,4329.38,Yes
R00415,H018,Suite,9,4,7094.66,Yes
R00416,H018,Standard,7,2,3135.77,Yes
R00417,H018,Deluxe,13,2,4207.92,Yes
R00418,H018,Standard,6,2,2935.71,Yes
R00419,H018,Deluxe,6,2,3971.8,Yes
R00420,H019,Deluxe,10,2,4739.88,No
R00421,H019,Standard,14,2,3076.3,Yes
R00422,H019,Standard,3,2,3146.71,Yes
R00423,H019,Standard,9,2,3631.05,Yes
R00424,H019,Standard,11,2,3671.64,Yes
R00425,H019,Deluxe,10,2,5088.3,Yes
R00426,H019,Standard,10,2,3141.57,Yes
R00427,H019,Deluxe,10,2,4894.17,Yes
R00428,H019,Standard,14,2,3058.43,Yes
R00429,H019,Deluxe,10,2,4821.85,Yes
R00430,H019,Deluxe,10,2,5192.89,Yes
R00431,H019,Deluxe,5,2,5195.78,Yes
R00432,H019,Standard,13,2,3492.32,Yes
R00433,H019,Standard,1,2,3144.14,Yes
R00434,H019,Deluxe,6,2,5160.84,Yes
R00435,H019,Deluxe,12,2,5538.85,Yes
R00436,H019,Standard,13,2,3284.53,Yes
R00437,H019,Standard,8,2,3120.64,Yes
R00438,H019,Standard,1,2,3231.45,Yes
R00439,H019,Deluxe,4,2,5513.73,Yes
R00440,H019,Suite,10,4,9418.4,Yes
R00441,H019,Standard,9,2,3348.15,Yes
R00442,H019,Deluxe,2,2,5496.43,Yes
R00443,H019,Executive,4,3,7339.62,Yes
R00444,H019,Standard,10,2,3622.73,Yes
R00445,H020,Deluxe,9,2,3870.87,Yes
R00446,H020,Standard,5,2,2983.4,Yes
R00447,H020,Standard,7,2,2604.65,Yes
R00448,H020,Standard,5,2,2617.18,Yes
R00449,H020,Suite,5,4,8137.97,Yes
R00450,H020,Deluxe,3,2,4683.07,Yes
R00451,H020,Suite,6,4,7736.75,Yes
R00452,H020,Standard,10,2,2861.11,Yes
R00453,H020,Standard,3,2,2975.61,Yes
R00454,H020,Deluxe,3,2,4373.26,Yes
R00455,H020,Standard,10,2,2754.38,Yes
R00456,H020,Deluxe,14,2,4115.36,Yes
R00457,H020,Suite,9,4,7634.77,Yes
R00458,H020,Deluxe,1,2,4173.42,Yes
R00459,H020,Executive,10,3,5889.21,Yes
R00460,H020,Suite,11,4,6939.97,Yes
R00461,H020,Executive,13,3,6686.47,Yes
R00462,H020,Standard,1,2,2902.77,Yes
R00463,H020,Deluxe,10,2,4514.67,Yes
R00464,H020,Suite,4,4,6947.36,Yes
R00465,H020,Standard,1,2,2822.98,Yes
R00466,H020,Standard,4,2,2805.81,Yes
R00467,H020,Executive,14,3,6538.05,Yes
R00468,H020,Deluxe,9,2,4038.17,Yes
R00469,H020,Deluxe,9,2,4180.53,No
R00470,H020,Deluxe,9,2,4151.55,Yes
R00471,H020,Suite,12,4,7921.12,Yes
R00472,H020,Standard,8,2,2683.67,Yes
R00473,H020,Deluxe,4,2,4654.85,No
R00474,H020,Suite,12,4,7210.92,Yes
R00475,H020,Standard,6,2,2889.87,Yes
R00476,H021,Deluxe,5,2,4680.32,Yes
R00477,H021,Standard,7,2,3580.46,No
R00478,H021,Suite,5,4,8216.46,No
R00479,H021,Standard,8,2,3473.15,Yes
R00480,H021,Standard,14,2,3395.57,Yes
R00481,H021,Deluxe,3,2,4667.79,Yes
R00482,H021,Standard,1,2,3482.31,Yes
R00483,H021,Deluxe,1,2,4658.84,Yes
R00484,H021,Deluxe,11,2,5323.5,Yes
R00485,H021,Deluxe,3,2,4962.85,Yes
R00486,H021,Suite,8,4,9293.45,Yes
R00487,H021,Standard,5,2,3466.49,Yes
R00488,H021,Standard,10,2,3193.13,Yes
R00489,H021,Suite,1,4,9758.42,Yes
R00490,H021,Suite,3,4,9795.04,Yes
R00491,H021,Suite,13,4,9018.83,Yes
R00492,H021,Executive,5,3,7755.07,Yes
R00493,H021,Deluxe,2,2,5479.8,Yes
R00494,H021,Deluxe,11,2,5098.04,Yes
R00495,H021,Executive,14,3,7227.57,Yes
R00496,H021,Suite,6,4,8429.61,Yes
R00497,H021,Standard,3,2,3048.99,Yes
R00498,H021,Standard,11,2,3540.09,Yes
R00499,H021,Suite,7,4,9605.77,Yes
R00500,H021,Standard,11,2,3102.71,No
R00501,H021,Deluxe,4,2,4566.29,Yes
R00502,H021,Standard,5,2,3670.11,Yes
R00503,H021,Deluxe,1,2,4818.77,Yes
R00504,H021,Standard,11,2,3117.8,Yes
R00505,H021,Standard,9,2,3649.67,Yes
R00506,H022,Suite,12,4,9623.53,Yes
R00507,H022,Standard,10,2,3671.56,No
R00508,H022,Deluxe,8,2,6109.25,Yes
R00509,H022,Standard,9,2,4198.55,Yes
R00510,H022,Suite,14,4,9829.56,Yes
R00511,H022,Suite,14,4,10990.24,Yes
R00512,H022,Deluxe,6,2,5344.26,Yes
R00513,H022,Standard,9,2,4191.0,Yes
R00514,H022,Deluxe,3,2,5629.88,Yes
R00515,H022,Standard,4,2,4049.36,Yes
R00516,H022,Suite,8,4,11033.73,Yes
R00517,H022,Deluxe,8,2,5899.25,Yes
R00518,H022,Deluxe,5,2,6081.32,Yes
R00519,H022,Suite,12,4,9828.52,Yes
R00520,H022,Standard,12,2,3551.92,No
R00521,H022,Executive,2,3,9116.58,Yes
R00522,H022,Standard,3,2,4089.01,Yes
R00523,H022,Executive,11,3,9080.09,Yes
R00524,H022,Suite,8,4,11158.03,Yes
R00525,H022,Standard,11,2,4237.65,Yes
R00526,H022,Standard,14,2,3768.22,Yes
R00527,H022,Deluxe,9,2,5400.52,No
R00528,H022,Suite,13,4,9430.38,Yes
R00529,H022,Deluxe,9,2,5739.56,Yes
R00530,H022,Standard,8,2,3767.0,Yes
R00531,H022,Executive,12,3,8756.48,Yes
R00532,H022,Deluxe,10,2,6130.18,Yes
R00533,H022,Standard,4,2,3554.61,Yes
R00534,H022,Standard,11,2,4038.98,Yes
R00535,H022,Deluxe,7,2,5756.51,Yes
R00536,H023,Suite,13,4,6984.67,Yes
R00537,H023,Standard,14,2,3089.18,Yes
R00538,H023,Deluxe,13,2,4428.93,Yes
R00539,H023,Standard,3,2,3127.99,Yes
R00540,H023,Standard,5,2,2610.14,Yes
R00541,H023,Suite,3,4,7838.99,Yes
R00542,H023,Deluxe,6,2,4654.93,Yes
R00543,H023,Suite,6,4,7944.46,Yes
R00544,H023,Standard,3,2,2998.47,Yes
R00545,H023,Suite,5,4,8186.31,Yes
R00546,H023,Deluxe,1,2,4336.4,No
R00547,H023,Deluxe,3,2,4190.27,Yes
R00548,H023,Standard,2,2,3092.45,Yes
R00549,H023,Standard,12,2,3040.47,Yes
R00550,H023,Standard,10,2,2913.64,Yes
R00551,H023,Standard,13,2,2905.05,Yes
R00552,H023,Standard,4,2,3062.91,Yes
R00553,H023,Executive,1,3,5774.17,Yes
R00554,H023,Deluxe,12,2,4703.64,Yes
R00555,H023,Standard,10,2,2970.11,Yes
R00556,H023,Standard,6,2,3010.29,Yes
R00557,H023,Deluxe,6,2,4123.07,Yes
R00558,H023,Suite,8,4,7047.91,No
R00559,H023,Deluxe,14,2,4133.0,Yes
R00560,H023,Standard,1,2,2891.01,Yes
R00561,H023,Standard,5,2,2885.85,Yes
R00562,H023,Deluxe,5,2,3992.03,Yes
R00563,H024,Standard,14,2,2713.61,Yes
R00564,H024,Executive,6,3,5828.79,Yes
R00565,H024,Executive,11,3,6407.51,Yes
R00566,H024,Deluxe,6,2,4006.18,Yes
R00567,H024,Deluxe,9,2,4695.87,No
R00568,H024,Deluxe,14,2,4575.23,Yes
